ticket_id,Data,Motivo,Responsável,Status,Hora Início,Hora Fim,Tempo de Conclusão (TMA),SLA_fila,Assertividade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#986247,1/12/2026,Bloqueio/Fraude/Kyc,Bárbara,Em espera,21:28,21:29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#986239,1/12/2026,Bloqueio/Fraude/Kyc,Bárbara,Em espera,21:37,21:38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#985502,1/12/2026,KYC/Reembolso,Bárbara,Aberto,21:43,21:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#970324,1/12/2026,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,21:55,21:58,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#968277,1/12/2026,Aposta esportiva,Bárbara,Aberto,22:03,22:08,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#985631,1/12/2026,Giros,Bárbara,Aberto,22:11,22:13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#958830,1/12/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#986977,1/12/2026,Giros,Bárbara,Aberto,22:36,22:41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#986656,1/13/2026,Cashback,Lucas,Em espera,1:21,1:23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#987260,1/13/2026,Troca de E-mail,Lucas,Aberto,1:24,1:26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#987350,1/13/2026,Cashback,Lucas,Aberto,1:30,1:31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#987447,1/13/2026,Giros,Lucas,Aberto,1:31,1:33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#987971,1/13/2026,Bloqueio/Fraude,Lucas,Aberto,2:32,2:35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#987862,1/13/2026,KYC/Reembolso,Lucas,Aberto,3:59,4:01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#988087,1/13/2026,Cashback,Lucas,Aberto,4:32,4:36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#988180,1/13/2026,KYC/Reembolso,Lucas,Aberto,5:22,5:24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#988083,1/13/2026,Cashback,Lucas,Aberto,5:29,5:34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#988178,1/13/2026,Indique e ganhe,Lucas,Aberto,5:39,5:49,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#988221,1/13/2026,Cashback,Lucas,Em espera,6:24,6:47,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995767,1/14/2026,KYC/Reembolso,Lucas,Em espera,19:43,19:44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995435,1/14/2026,Bloqueio/Fraude,Lucas,Aberto,19:47,19:49,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995918,1/14/2026,KYC/Reembolso,Lucas,Aberto,20:14,20:15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995667,1/14/2026,KYC/Reembolso,Lucas,Em espera,20:35,20:36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995411,1/14/2026,KYC/Reembolso,Lucas,Em espera,20:51,20:52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#996120,1/14/2026,KYC/Reembolso,Lucas,Em espera,20:53,20:56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#996118,1/14/2026,KYC/Reembolso,Lucas,Em espera,20:57,20:59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995997,1/14/2026,KYC/Reembolso,Lucas,Em espera,21:03,21:06,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995397,1/14/2026,KYC/Reembolso,Lucas,Em espera,21:11,21:12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995361,1/14/2026,Troca de E-mail,Lucas,Aberto,21:16,21:18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994870,1/14/2026,KYC/Reembolso,Lucas,Em espera,21:23,21:25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994777,1/14/2026,KYC/Reembolso,Lucas,Em espera,21:28,21:32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994681,1/14/2026,KYC/Reembolso,Lucas,Em espera,21:49,21:51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#993894,1/14/2026,KYC/Reembolso,Lucas,Em espera,21:59,22:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#993842,1/14/2026,Troca de E-mail,Lucas,Aberto,22:06,22:07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#996363,1/14/2026,Troca de E-mail,Lucas,Em espera,22:27,22:31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995810,1/14/2026,Bloqueio/Fraude/Kyc,Lucas,Aberto,22:34,22:35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995567,1/14/2026,Campanhas/CRM,Lucas,Aberto,22:40,22:47,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994348,1/14/2026,KYC/Reembolso,Lucas,Em espera,22:51,22:56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#996364,1/14/2026,Giros,Lucas,Aberto,23:20,23:32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#996618,1/14/2026,KYC/Reembolso,Lucas,Aberto,23:33,23:40,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#996747,1/14/2026,KYC/Reembolso,Lucas,Aberto,23:56,0:01,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995583,1/14/2026,Cashback,Lucas,Aberto,1:28,2:06,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#996761,1/14/2026,Cashback,Lucas,Aberto,2:17,2:18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995042,1/14/2026,Giros,Lucas,Aberto,2:27,2:29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994840,1/14/2026,Bloqueio/Fraude,Lucas,Aberto,2:31,2:33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994817,1/14/2026,KYC/Reembolso,Lucas,Em espera,3:06,3:08,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994444,1/15/2026,Cashback,Lucas,Aberto,3:15,3:19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#997366,1/15/2026,KYC/Reembolso,Lucas,Aberto,3:21,3:24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994383,1/15/2026,Bloqueio/Fraude,Lucas,Aberto,3:27,3:32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994349,1/15/2026,Cashback,Lucas,Aberto,3:43,3:45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#997323,1/15/2026,KYC/Reembolso,Lucas,Aberto,3:55,3:56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995410,1/15/2026,Cashback,Lucas,Em espera,4:08,4:09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#990742,1/15/2026,Cashback,Lucas,Em espera,4:25,4:28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994046,1/15/2026,Cashback,Lucas,Em espera,4:43,4:44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994048,1/15/2026,Cashback,Lucas,Em espera,4:48,4:50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995286,1/15/2026,Cashback,Lucas,Em espera,4:59,5:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#995077,1/15/2026,Cashback,Lucas,Em espera,5:05,5:06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#994896,1/15/2026,Erro Plataforma,Lucas,Em espera,5:12,6:27,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
